Experiment_ID,Method_Category,Features,K-Fold,CV_Reward_0.85,CV_Avg_Performance,CV_Avg_Cost,Model_Distribution,Public_Kaggle_Score
xgboost,classification,meta_len1_code1_math1,5,0.4461,0.5301,0.0023,"{'Model_K': 8795, 'Model_C': 589, 'Model_D': 331, 'Model_E': 238, 'Model_J': 84, 'Model_H': 42, 'Model_F': 31, 'Model_B': 29, 'Model_G': 24, 'Model_I': 12, 'Model_A': 7}",
lightgbm,classification,dense_all-MiniLM-L6-v2,5,0.446,0.5283,0.0015,"{'Model_K': 9146, 'Model_C': 491, 'Model_D': 273, 'Model_E': 201, 'Model_J': 33, 'Model_H': 23, 'Model_F': 7, 'Model_I': 3, 'Model_A': 2, 'Model_G': 2, 'Model_B': 1}",
random_forest,cost_sensitive,tfidf_max5000_ng1-1,5,0.446,0.5379,0.0058,"{'Model_K': 8668, 'Model_E': 414, 'Model_H': 384, 'Model_C': 289, 'Model_D': 190, 'Model_F': 106, 'Model_J': 60, 'Model_I': 31, 'Model_B': 21, 'Model_G': 12, 'Model_A': 7}",
xgboost,classification,dense_Qwen-Qwen3-Embedding-8B,10,0.4459,0.5283,0.0016,"{'Model_K': 8966, 'Model_C': 517, 'Model_E': 300, 'Model_D': 270, 'Model_J': 69, 'Model_H': 37, 'Model_G': 8, 'Model_F': 6, 'Model_I': 5, 'Model_B': 3, 'Model_A': 1}",
lightgbm,cost_sensitive,svd_comp500_tfidf5000_ng1-1,5,0.4455,0.5455,0.0093,"{'Model_K': 7479, 'Model_H': 832, 'Model_C': 574, 'Model_D': 438, 'Model_F': 332, 'Model_J': 205, 'Model_E': 179, 'Model_B': 60, 'Model_I': 39, 'Model_G': 35, 'Model_A': 9}",
KNN_qwen3-emb-8b_k5,KNN,Qwen3-embedding-8b,5,0.4452,0.5509,0.0118,"{'Model_K': 3412, 'Model_D': 1250, 'Model_H': 1167, 'Model_F': 966, 'Model_C': 831, 'Model_B': 677, 'Model_J': 647, 'Model_G': 390, 'Model_E': 389, 'Model_I': 264, 'Model_A': 189}",
lightgbm,classification,tfidf_max5000_ng1-1,5,0.4451,0.5288,0.0023,"{'Model_K': 7986, 'Model_C': 834, 'Model_D': 547, 'Model_E': 342, 'Model_J': 210, 'Model_H': 69, 'Model_F': 60, 'Model_I': 47, 'Model_B': 39, 'Model_G': 32, 'Model_A': 16}",
lightgbm,cost_sensitive,tfidf_max5000_ng1-1,5,0.4449,0.5736,0.022,"{'Model_K': 4628, 'Model_H': 2286, 'Model_F': 1249, 'Model_C': 442, 'Model_D': 424, 'Model_B': 325, 'Model_J': 305, 'Model_G': 174, 'Model_E': 167, 'Model_I': 149, 'Model_A': 33}",
xgboost,regression,tfidf_max5000_ng1-1,5,0.4448,0.5525,0.0128,"{'Model_K': 3576, 'Model_H': 1569, 'Model_F': 1124, 'Model_B': 763, 'Model_D': 693, 'Model_J': 591, 'Model_I': 437, 'Model_C': 408, 'Model_E': 382, 'Model_G': 339, 'Model_A': 300}",
xgboost,cost_sensitive,w2v_size100_win5,5,0.4446,0.5766,0.0234,"{'Model_K': 4167, 'Model_H': 2527, 'Model_F': 1307, 'Model_B': 639, 'Model_D': 381, 'Model_G': 287, 'Model_J': 280, 'Model_C': 204, 'Model_I': 202, 'Model_E': 94, 'Model_A': 94}",
